longitud,latitud
-69.021781,-33.581748
-67.704805,-34.968218
-69.150367,-33.369221
-69.150367,-33.369221
-68.311013,-34.622684
-68.311013,-34.622684
-67.696248,-34.983369
-68.274912,-34.615514
-69.146764,-33.362718
-68.321028,-34.620636
-68.339191,-34.629398
-68.339191,-34.629398
-68.339191,-34.629398
-68.301620,-34.555490
-69.150435,-33.372227
-69.150435,-33.372227
-69.150435,-33.372227
-69.150435,-33.372227
-67.687212,-34.975912
-69.573153,-35.473809
-69.573153,-35.473809
-69.573153,-35.473809
-69.573153,-35.473809
-67.873122,-34.591223
-68.320718,-34.616299
-68.320718,-34.616299
-68.320718,-34.616299
-68.320718,-34.616299
-68.320718,-34.616299
-68.438647,-34.546602
-68.338910,-34.648951
-68.315168,-34.633794
-68.668592,-35.024602
-68.344844,-34.628542
-68.415323,-34.608742
-68.415323,-34.608742
-68.286209,-34.632074
-69.010959,-33.567670
-69.567655,-35.469709
-69.567655,-35.469709
-69.567655,-35.469709
-68.341980,-34.623805
-68.341980,-34.623805
-69.583513,-35.478614
-69.583513,-35.478614
-69.583513,-35.478614
-69.153212,-33.647281
-69.153212,-33.647281
-68.309645,-34.631372
-68.309645,-34.631372
-68.309645,-34.631372
-68.279785,-34.616525
-68.279785,-34.616525
-68.279785,-34.616525
-68.279785,-34.616525
-67.870139,-34.594533
-68.324145,-34.606318
-69.021932,-33.579957
-68.131613,-34.675509
-69.013856,-33.580615
-68.317887,-34.626598
-68.367543,-34.575819
-68.367543,-34.575819
-68.279035,-34.682397
-68.279035,-34.682397
-68.084826,-34.673556
-68.284366,-34.616120
-68.326819,-34.621539
-69.012860,-33.560243
-68.230150,-34.736351
-68.230150,-34.736351
-68.344892,-34.671343
-68.358111,-34.666951
-68.380361,-34.647307
-69.157253,-33.657815
-69.011634,-33.574043
-69.011634,-33.574043
-69.011634,-33.574043
-69.011634,-33.574043
-69.576981,-35.504291
-69.157164,-33.657766
-68.336757,-34.634682
-69.102688,-33.589657
-68.378824,-34.588574
-68.425677,-34.684773
